zip_code,neighborhood,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,rating,price,longitude,latitude,total_reviews,availability_365
78730,Riverplace,Private room in home,Private room,2,1,1,5,4.93,50,-97.85066,30.38711,0,357
78758,North Burnet,Entire rental unit,Entire home/apt,6,2,2,1,4.92,135,-97.72134,30.40315,25,235
78702,East Cesar Chavez,Entire condo,Entire home/apt,5,2,3,2,5.0,311,-97.73458,30.254734,4,31
78745,South Austin,Entire home,Entire home/apt,12,6,6,1,5.0,322,-97.80798,30.19777,2,308
78701,National Harbor,Entire rental unit,Entire home/apt,4,1,1,3,4.93,225,-97.7474,30.271624,0,4
78753,Heritage Hills,Entire home,Entire home/apt,11,4,5,1,5.0,407,-97.65013,30.39514,1,348
78729,Bailey Oaks,Entire home,Entire home/apt,2,1,1,2,4.22,62,-97.76559,30.46159,9,28
78758,North Austin Civic Association,Entire vacation home,Entire home/apt,2,1,1,28,4.93,90,-97.7118,30.37832,0,298
78744,Southeast Austin,Entire home,Entire home/apt,8,3,4,30,4.93,181,-97.729294,30.196491,0,343
78724,Colony Park,Entire home,Entire home/apt,6,3,3,1,4.69,169,-97.62188,30.318214,13,346
78758,North Burnet,Entire rental unit,Entire home/apt,3,1,1,1,1.0,156,-97.72481,30.403048,1,356
78753,Copperfield,Private room in home,Private room,2,1,1,1,5.0,68,-97.659836,30.393518,16,344
78735,Oak Hill,Entire guesthouse,Entire home/apt,2,1,2,1,4.67,82,-97.84708,30.23851,27,327
78748,Forest Hills,Entire rental unit,Entire home/apt,4,2,2,1,5.0,88,-97.82489,30.16373,1,68
78704,Zilker,Entire rental unit,Entire home/apt,2,1,1,2,5.0,306,-97.7653,30.253273,1,16
78754,Walnut Place,Entire home,Entire home/apt,6,3,3,2,4.75,447,-97.65118,30.33189,4,324
78704,Greater South River City,Entire condo,Entire home/apt,4,1,2,1,5.0,190,-97.74739,30.25555,5,308
78705,Central Austin,Entire rental unit,Entire home/apt,4,1,1,10,4.93,243,-97.72801,30.29184,0,89
78745,South Austin,Entire home,Entire home/apt,2,1,1,1,4.93,109,-97.77988,30.20257,0,0
78721,Johnston Terrace,Entire home,Entire home/apt,6,3,3,3,5.0,164,-97.68727,30.25813,1,288
78703,Clarksville,Entire townhouse,Entire home/apt,16,5,9,2,4.91,757,-97.7631,30.2846,11,147
78753,Eubank Acres,Entire home,Entire home/apt,6,3,3,1,5.0,191,-97.67711,30.38601,9,304
78717,North Burnet,Entire rental unit,Entire home/apt,2,1,1,5,4.93,80,-97.769424,30.479242,0,364
78741,North Burnet,Entire rental unit,Entire home/apt,4,2,2,4,4.93,239,-97.71068,30.227724,0,356
78758,North Burnet,Entire rental unit,Entire home/apt,4,2,2,3,4.93,230,-97.726814,30.3955,0,352
