id,host_id,zip_code,neighborhood,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,rating,price,longitude,latitude,availability_365
42644729,12667547,78704,Zilker,Entire rental unit,Entire home/apt,4,1.0,1.0,1,4.93,150,-97.74847,30.25569,0
2476940,12668275,78753,Copperfield,Private room in home,Private room,2,1.0,1.0,2,4.65,159,-97.66244,30.38645,0
729991890161311599,12669375,78745,South Austin,Entire condo,Entire home/apt,2,1.0,1.0,30,4.33,82,-97.79279,30.21466,304
28257171,12680320,78703,Tarrytown,Entire rental unit,Entire home/apt,2,1.0,1.0,3,4.89,116,-97.77144,30.29443,0
10707904,12683426,78702,Rosewood,Entire guest suite,Entire home/apt,2,1.0,1.0,4,4.97,151,-97.7072,30.2726,115
10770009,12702263,78702,Holly,Entire rental unit,Entire home/apt,2,1.0,1.0,1,4.93,449,-97.7157,30.25775,0
2482898,12703001,78723,Windsor Park,Entire home,Entire home/apt,6,3.0,3.0,1,4.93,500,-97.6925,30.30949,0
800311532593834346,12703241,78702,East Cesar Chavez,Entire home,Entire home/apt,2,1.0,1.0,1,5.0,325,-97.73109362697032,30.253060947402343,0
5317632,12728314,78741,Parker Lane,Private room in townhouse,Private room,1,1.0,1.0,1,5.0,55,-97.74269,30.22749,68
551013304459329499,12728314,78741,Parker Lane,Private room in townhouse,Private room,1,1.0,1.0,2,4.97,52,-97.74052,30.22551,9
23231236,12732024,78754,"Pioneer Hill, Copperfield",Private room in home,Private room,2,1.0,1.0,2,4.75,56,-97.64393,30.36078,78
23231595,12732024,78754,"Pioneer Hill, Copperfield",Private room in home,Private room,2,1.0,1.0,2,4.89,56,-97.64348,30.36099,74
2489487,12736010,78751,Hyde Park,Entire home,Entire home/apt,8,2.0,3.0,1,4.93,775,-97.72577,30.3086,0
7033328,12740864,78701,Rainey Street,Entire rental unit,Entire home/apt,2,1.0,1.0,1,4.93,67,-97.73877,30.25824,0
713782272240955648,12755202,78723,University Hills,Entire home,Entire home/apt,6,3.0,3.0,2,5.0,231,-97.66733,30.31478,6
2493385,12761140,78723,Mueller,Entire home,Entire home/apt,8,3.0,3.0,2,4.77,356,-97.70205,30.29727,163
